"orderid","orderdate","receiveddate","quantity","cost","shippingcost","animal.animalid","animal.name","animal.category","animal.breed","animal.dateborn","animal.gender","animal.registered","animal.color","animal.listprice","merchandise.merchandiseid","merchandise.description","merchandise.quantityonhand","merchandise.listprice","merchandise.category","supplier.supplierid","supplier.name","supplier.contactname","supplier.phone","supplier.address","supplier.city","supplier.state","supplier.zipcode"
29,"2004-01-20","2004-03-04",1,61.9,45.14,150,"Brian","Dog","Norfolk Terrier","2004-01-03","Male","AKC","Yellow",168.8,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
30,"2004-01-20","2004-03-04",1,94,45.14,45,"Bernard","Cat","American Shorthair","2004-08-08","Male","CFA","Gray",182.77,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
31,"2004-01-20","2004-03-04",1,104.94,45.14,85,"Dwight","Dog","Dachshund","2004-03-03","Male","AKC","Brown",178.64,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
32,"2004-01-20","2004-03-04",1,108.39,45.14,175,"Donald","Cat","Canadian Hairless","2004-07-09","Male","CFA","Brown",193.14,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
33,"2004-01-20","2004-03-04",1,227.47,45.14,186,"Francis","Dog","Chinese Shar Pei","2004-01-29","Female","AKC","Brown",240.4,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
34,"2004-01-21","2004-03-16",1,64.76,40.73,162,"Basil","Cat","Japanese Bobtail","2004-05-08","Male","CFA","Red",133.19,,"",,,"",8,"Roberts","Jody","907-797-6770","527 Mud River Valley Road","Anchorage","AK","99502"
35,"2004-01-21","2004-03-16",1,75.4,40.73,188,"Angela","Dog","Chow Chow","2004-06-26","Female","AKC","Yellow",234.97,,"",,,"",8,"Roberts","Jody","907-797-6770","527 Mud River Valley Road","Anchorage","AK","99502"
36,"2004-01-21","2004-03-16",1,90.8,40.73,20,"Buck","Cat","Bombay","2004-04-30","Male","CFA","Black",213.18,,"",,,"",8,"Roberts","Jody","907-797-6770","527 Mud River Valley Road","Anchorage","AK","99502"
37,"2004-01-21","2004-03-16",1,91.3,40.73,93,"Trina","Dog","Greyhound","2004-01-05","Female","AKC","Gray",143.07,,"",,,"",8,"Roberts","Jody","907-797-6770","527 Mud River Valley Road","Anchorage","AK","99502"
38,"2004-01-21","2004-03-16",1,102.15,40.73,191,"Cassy","Dog","Collie","2004-02-13","Female","AKC","Brown/White",233.43,,"",,,"",8,"Roberts","Jody","907-797-6770","527 Mud River Valley Road","Anchorage","AK","99502"
39,"2004-01-21","2004-03-16",1,115.98,40.73,153,"Owen","Cat","Manx","2004-06-28","Male","","Yellow",234.54,,"",,,"",8,"Roberts","Jody","907-797-6770","527 Mud River Valley Road","Anchorage","AK","99502"
40,"2004-01-21","2004-03-16",1,124.29,40.73,63,"Sandy","Cat","Persian","2004-02-19","Female","CFA","White",191.27,,"",,,"",8,"Roberts","Jody","907-797-6770","527 Mud River Valley Road","Anchorage","AK","99502"
41,"2004-01-21","2004-03-16",1,165.04,40.73,70,"Chris","Dog","Akita","2004-02-08","Male","","White/Black",206.57,,"",,,"",8,"Roberts","Jody","907-797-6770","527 Mud River Valley Road","Anchorage","AK","99502"
42,"2004-01-22","",1,69.13,54.09,97,"Ernest","Dog","Dachshund","2004-01-21","Male","AKC","Black",141.95,,"",,,"",3,"Murphy","Faye","402-477-9061","4218 Industrial Drive","Omaha","NE","68108"
43,"2004-01-22","",1,120.77,54.09,84,"Patricia","Cat","Angora","2004-02-26","Female","","White",294.26,,"",,,"",3,"Murphy","Faye","402-477-9061","4218 Industrial Drive","Omaha","NE","68108"
44,"2004-01-23","",1,59.06,53.73,42,"Lloyd","Dog","Bassett Hound","2004-05-19","Male","AKC","Brown/Black",193.63,,"",,,"",11,"Parrish","Mandy","606-033-1460","9641 Elm Street","Danville","KY","40422"
45,"2004-01-23","",1,79.23,53.73,89,"Ben","Dog","German Shepherd","2004-01-10","Male","","Black/White",153.94,,"",,,"",11,"Parrish","Mandy","606-033-1460","9641 Elm Street","Danville","KY","40422"
46,"2004-01-23","",1,128.79,53.73,178,"Leisha","Dog","Scottish Terrier","2004-05-26","Female","AKC","Gray",164.63,,"",,,"",11,"Parrish","Mandy","606-033-1460","9641 Elm Street","Danville","KY","40422"
47,"2004-01-23","",1,146.84,53.73,190,"Wendell","Dog","Minature Pinschers","2004-03-30","Male","AKC","Red",163.6,,"",,,"",11,"Parrish","Mandy","606-033-1460","9641 Elm Street","Danville","KY","40422"
48,"2004-01-23","",1,150.12,53.73,172,"Jackie","Dog","Boston Terrier","2004-08-13","Female","AKC","Gray",242.28,,"",,,"",11,"Parrish","Mandy","606-033-1460","9641 Elm Street","Danville","KY","40422"
49,"2004-01-27","",1,48.66,50.49,166,"Katy","Cat","Japanese Bobtail","2004-03-25","Female","CFA","Yellow",163.72,,"",,,"",9,"Dillard","George","803-448-2061","9713 Wildwood Street","Columbia","SC","29201"
50,"2004-01-27","",1,68.87,50.49,75,"Ella","Dog","Chinese Shar Pei","2004-02-08","Female","AKC","Brown",131.83,,"",,,"",9,"Dillard","George","803-448-2061","9713 Wildwood Street","Columbia","SC","29201"
51,"2004-01-27","",1,129.41,50.49,155,"Stephen","Cat","Siamese","2004-02-28","Male","","White",222.93,,"",,,"",9,"Dillard","George","803-448-2061","9713 Wildwood Street","Columbia","SC","29201"
52,"2004-01-27","",1,130.89,50.49,46,"Lou Ann","Dog","Chinese Shar Pei","2004-01-08","Female","","Gold",254.85,,"",,,"",9,"Dillard","George","803-448-2061","9713 Wildwood Street","Columbia","SC","29201"
53,"2004-01-27","",1,141.03,50.49,193,"Kevin","Cat","Sphynx","2004-09-20","Male","CFA","Yellow",240.05,,"",,,"",9,"Dillard","George","803-448-2061","9713 Wildwood Street","Columbia","SC","29201"
54,"2004-01-28","2004-04-22",1,32.96,61.02,21,"Debbie","Bird","Cockatiel","2004-01-14","Female","","Blue",177.88,,"",,,"",3,"Murphy","Faye","402-477-9061","4218 Industrial Drive","Omaha","NE","68108"
55,"2004-01-28","2004-04-22",1,47.38,61.02,88,"Brandy","Dog","Cocker Spaniel","2004-07-09","Female","AKC","Brown",189.06,,"",,,"",3,"Murphy","Faye","402-477-9061","4218 Industrial Drive","Omaha","NE","68108"
56,"2004-01-28","2004-04-22",1,62.41,61.02,80,"Oakley","Dog","Jack Russell Terrier","2004-08-09","Female","AKC","Brown/White",84.45,,"",,,"",3,"Murphy","Faye","402-477-9061","4218 Industrial Drive","Omaha","NE","68108"
57,"2004-01-28","2004-04-22",1,71.91,61.02,127,"Beth","Cat","British Blue","2004-01-09","Female","CFA","Gray/Blue",195.72,,"",,,"",3,"Murphy","Faye","402-477-9061","4218 Industrial Drive","Omaha","NE","68108"
58,"2004-01-28","2004-04-22",1,72.19,61.02,92,"Terry","Bird","Lovebird","2004-02-04","Male","","White",180.16,,"",,,"",3,"Murphy","Faye","402-477-9061","4218 Industrial Drive","Omaha","NE","68108"
59,"2004-01-28","2004-04-22",1,202.76,61.02,170,"Sarah","Dog","Poodle","2004-03-15","Female","AKC","White",250.81,,"",,,"",3,"Murphy","Faye","402-477-9061","4218 Industrial Drive","Omaha","NE","68108"
60,"2004-01-29","",1,41.45,49.07,135,"","Mammal","Ferret","2004-07-24","Female","","Brown",125.23,,"",,,"",4,"Frost","Kaye","606-630-0346","7049 Carrington Road","Middlesboro","KY","40965"
61,"2004-01-29","",1,47.47,49.07,112,"Elizabeth","Cat","Persian","2004-01-15","Female","CFA","Gray",145.33,,"",,,"",4,"Frost","Kaye","606-630-0346","7049 Carrington Road","Middlesboro","KY","40965"
62,"2004-01-29","",1,49.33,49.07,33,"Kent","Dog","Poodle-Toy","2004-05-30","Male","AKC","Gray/Blue",122.36,,"",,,"",4,"Frost","Kaye","606-630-0346","7049 Carrington Road","Middlesboro","KY","40965"
63,"2004-01-29","",1,67.6,49.07,74,"Gina","Dog","Lhasa Apso","2004-01-25","Female","AKC","Brown/White",128.08,,"",,,"",4,"Frost","Kaye","606-630-0346","7049 Carrington Road","Middlesboro","KY","40965"
64,"2004-01-29","",1,78.04,49.07,91,"Russell","Dog","Pit Bull","2004-05-23","Male","AKC","Brown",171.59,,"",,,"",4,"Frost","Kaye","606-630-0346","7049 Carrington Road","Middlesboro","KY","40965"
65,"2004-01-29","",1,105.91,49.07,141,"MaryJo","Dog","Pit Bull","2004-06-22","Female","AKC","Brown",234.51,,"",,,"",4,"Frost","Kaye","606-630-0346","7049 Carrington Road","Middlesboro","KY","40965"
66,"2004-01-29","",1,120.73,49.07,165,"Julie","Dog","Dalmation","2004-08-28","Female","AKC","Spotted",172.37,,"",,,"",4,"Frost","Kaye","606-630-0346","7049 Carrington Road","Middlesboro","KY","40965"
67,"2004-01-29","",1,155.81,49.07,119,"DuJuan","Reptile","Boa Constrictor","2004-04-26","Male","","Brown/Gold",202.56,,"",,,"",4,"Frost","Kaye","606-630-0346","7049 Carrington Road","Middlesboro","KY","40965"
68,"2004-01-29","",1,158.03,49.07,96,"Stan","Cat","Sphynx","2004-01-01","Male","CFA","Black",241.67,,"",,,"",4,"Frost","Kaye","606-630-0346","7049 Carrington Road","Middlesboro","KY","40965"
69,"2004-01-30","2004-06-19",1,32.89,61.46,57,"Darcy","Dog","Akita","2004-01-02","Male","AKC","White/Black",237.1,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
70,"2004-01-30","2004-06-19",1,91.76,61.46,95,"Ashley","Cat","Sphynx","2004-01-25","Female","CFA","White",183.48,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
71,"2004-01-30","2004-06-19",1,200.53,61.46,176,"DuJuan","Dog","Coon Hound","2004-05-14","Male","AKC","Brown",295.28,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
72,"2004-01-30","2004-08-31",1,34.25,50.81,27,"","Reptile","Gila Monster","2004-03-11","Male","","Green",192.08,,"",,,"",2,"Fugate","Jody","615-625-9479","787 Park Street","Springfield","TN","37172"
73,"2004-01-30","2004-08-31",1,51.01,50.81,126,"Pierre","Cat","Maine Coon","2004-04-11","Male","CFA","Brown/Yellow",189.27,,"",,,"",2,"Fugate","Jody","615-625-9479","787 Park Street","Springfield","TN","37172"
74,"2004-01-30","2004-08-31",1,74.65,50.81,30,"Golda","Dog","Bloodhound","2004-01-06","Female","AKC","Brown",187.62,,"",,,"",2,"Fugate","Jody","615-625-9479","787 Park Street","Springfield","TN","37172"
75,"2004-01-30","2004-08-31",1,89.52,50.81,200,"Brandy","Dog","Mastiff","2004-08-01","Female","AKC","Brown",120.36,,"",,,"",2,"Fugate","Jody","615-625-9479","787 Park Street","Springfield","TN","37172"
76,"2004-01-30","2004-08-31",1,127.91,50.81,171,"Glen","Dog","Chihuahua","2004-04-18","Male","AKC","Yellow",232.26,,"",,,"",2,"Fugate","Jody","615-625-9479","787 Park Street","Springfield","TN","37172"
77,"2004-01-30","2004-08-31",1,153.74,50.81,79,"","Bird","Cockatiel","2004-02-26","Male","","Brown/Blue",224.47,,"",,,"",2,"Fugate","Jody","615-625-9479","787 Park Street","Springfield","TN","37172"
78,"2004-02-02","",1,30.59,51.55,199,"Herbert","Cat","Abyssinian","2004-01-23","Male","CFA","White",163.73,,"",,,"",6,"Mason","Whitney","307-645-4066","5230 Pleasant Valley Drive","Cheyenne","WY","82001"
79,"2004-02-02","",1,83.74,51.55,106,"Taylor","Cat","Oriental Shorthair","2004-02-21","Male","CFA","Yellow/Black",220.94,,"",,,"",6,"Mason","Whitney","307-645-4066","5230 Pleasant Valley Drive","Cheyenne","WY","82001"
80,"2004-02-02","",1,103.65,51.55,7,"Eugene","Cat","Bombay","2004-01-25","Male","CFA","Black",279.54,,"",,,"",6,"Mason","Whitney","307-645-4066","5230 Pleasant Valley Drive","Cheyenne","WY","82001"
81,"2004-02-04","",48,17.97,29.94,,"","","","","","","",,19,"Cat Litter-10 pound",128,8,"Cat",14,"Harrison","Angela","606-121-7621","8558 N. Main Street","Fort Thomas","KY","41075"
82,"2004-02-04","",331,5.68,29.94,,"","","","","","","",,19,"Cat Litter-10 pound",128,8,"Cat",14,"Harrison","Angela","606-121-7621","8558 N. Main Street","Fort Thomas","KY","41075"
83,"2004-02-05","2004-03-31",1,33.74,44.33,174,"Lisa","Dog","Doberman","2004-02-24","Female","AKC","Brown",184.95,,"",,,"",4,"Frost","Kaye","606-630-0346","7049 Carrington Road","Middlesboro","KY","40965"
84,"2004-02-05","2004-03-31",1,42.64,44.33,51,"Kelly","Dog","Golden Retriever","2004-01-16","Male","","Gold",246.05,,"",,,"",4,"Frost","Kaye","606-630-0346","7049 Carrington Road","Middlesboro","KY","40965"
85,"2004-02-05","2004-03-31",1,62.2,44.33,128,"Henry","Dog","German Shepherd","2004-07-16","Male","AKC","Black/White",155.95,,"",,,"",4,"Frost","Kaye","606-630-0346","7049 Carrington Road","Middlesboro","KY","40965"
86,"2004-02-05","2004-03-31",1,73.86,44.33,113,"Courtney","Dog","Boston Terrier","2004-03-12","Female","AKC","Black",142.61,,"",,,"",4,"Frost","Kaye","606-630-0346","7049 Carrington Road","Middlesboro","KY","40965"
87,"2004-02-05","2004-03-31",1,94.78,44.33,40,"Hunter","Dog","Weimaraner","2004-04-02","Male","AKC","Brown",214.82,,"",,,"",4,"Frost","Kaye","606-630-0346","7049 Carrington Road","Middlesboro","KY","40965"
88,"2004-02-08","",1,10.59,57.44,53,"","Fish","Starfish","2004-06-23","Female","","Blue",52,,"",,,"",3,"Murphy","Faye","402-477-9061","4218 Industrial Drive","Omaha","NE","68108"
89,"2004-02-08","",1,84.3,57.44,11,"Susan","Dog","Dalmation","2004-01-22","Female","AKC","Spotted",164.96,,"",,,"",3,"Murphy","Faye","402-477-9061","4218 Industrial Drive","Omaha","NE","68108"
90,"2004-02-08","",1,197.03,57.44,50,"Arnold","Dog","Pomeranian","2004-05-18","Male","AKC","Gray/Blue",267.05,,"",,,"",3,"Murphy","Faye","402-477-9061","4218 Industrial Drive","Omaha","NE","68108"
91,"2004-02-10","2004-05-02",1,15.37,44.98,180,"","Fish","Angel","2004-04-01","Female","","Yellow",27,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
92,"2004-02-10","2004-05-02",1,43.83,44.98,24,"Carla","Cat","Maine Coon","2004-04-11","Female","CFA","Brown\Red",163.97,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
93,"2004-02-10","2004-05-02",1,60.72,44.98,54,"Sandy","Bird","Parrot","2004-01-23","Female","","Blue/Red",107.52,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
94,"2004-02-10","2004-05-02",1,108.83,44.98,36,"Connie","Dog","Poodle-Toy","2004-10-14","Female","AKC","White",190.46,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
95,"2004-02-10","2004-10-06",1,2.84,60.87,118,"","Fish","Guppy","2004-05-05","Female","","Brown",4,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
96,"2004-02-10","2004-10-06",1,7.74,60.87,72,"","Mammal","Hamster","2004-06-27","Male","","Brown/White",13,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
97,"2004-02-10","2004-10-06",1,18.58,60.87,86,"","Fish","Tetra","2004-01-02","Female","","Black",22,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
98,"2004-02-10","2004-10-06",1,59.89,60.87,189,"Emma","Bird","Parrot","2004-09-06","Female","","Yellow",170.08,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
99,"2004-02-10","2004-10-06",1,91.26,60.87,19,"Gene","Dog","Wire Fox Terrier","2004-05-11","Male","AKC","White",210.65,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
100,"2004-02-10","2004-10-06",1,168.91,60.87,103,"Lee","Cat","Siamese","2004-07-17","Male","CFA","White/Black",232.9,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
101,"2004-02-12","2004-02-17",1,36.09,48.16,6,"Rosie","Cat","Oriental Shorthair","2004-08-02","Female","CFA","Gray",193.31,,"",,,"",3,"Murphy","Faye","402-477-9061","4218 Industrial Drive","Omaha","NE","68108"
102,"2004-02-12","2004-02-17",1,69.13,48.16,82,"","Mammal","Ferret","2004-07-21","Male","","Brown",125,,"",,,"",3,"Murphy","Faye","402-477-9061","4218 Industrial Drive","Omaha","NE","68108"
103,"2004-02-12","2004-02-17",1,106.67,48.16,12,"Leisha","Dog","Rottweiler","2004-06-13","Female","AKC","Brown",164.06,,"",,,"",3,"Murphy","Faye","402-477-9061","4218 Industrial Drive","Omaha","NE","68108"
104,"2004-02-12","2004-02-17",1,113.01,48.16,198,"Curtis","Dog","Maltese","2004-01-04","Male","AKC","Black",142.67,,"",,,"",3,"Murphy","Faye","402-477-9061","4218 Industrial Drive","Omaha","NE","68108"
105,"2004-02-14","",1,60.62,46.39,14,"Tina","Cat","Sphynx","2004-01-06","Female","CFA","Gold",143.94,,"",,,"",8,"Roberts","Jody","907-797-6770","527 Mud River Valley Road","Anchorage","AK","99502"
106,"2004-02-14","",1,117.98,46.39,48,"Anthony","Cat","Japanese Bobtail","2004-06-16","Male","CFA","White",226.54,,"",,,"",8,"Roberts","Jody","907-797-6770","527 Mud River Valley Road","Anchorage","AK","99502"
107,"2004-02-14","",1,148,46.39,111,"Martin","Dog","Keeshond","2004-03-08","Male","AKC","Black",238.55,,"",,,"",8,"Roberts","Jody","907-797-6770","527 Mud River Valley Road","Anchorage","AK","99502"
108,"2004-02-15","2004-06-16",1,14.12,61.22,129,"","Fish","Snail","2004-08-02","Male","","Yellow",16,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
109,"2004-02-15","2004-06-16",1,32.47,61.22,28,"","Spider","Tarantula","2004-02-07","Male","","Black",45,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
110,"2004-02-15","2004-06-16",1,70.21,61.22,161,"Bernard","Dog","Keeshond","2004-05-11","Male","","Red",244.9,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
111,"2004-02-15","2004-06-16",1,82.57,61.22,140,"Cal","Cat","Persian","2004-07-21","Male","CFA","White",134.8,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
112,"2004-02-16","",1,98.44,62.1,115,"Jewell","Cat","Korat","2004-01-15","Female","CFA","Black",210.88,,"",,,"",3,"Murphy","Faye","402-477-9061","4218 Industrial Drive","Omaha","NE","68108"
113,"2004-02-16","",1,129.52,62.1,43,"Chelsea","Reptile","Python","2004-02-10","Female","","Black/Gold",237.9,,"",,,"",3,"Murphy","Faye","402-477-9061","4218 Industrial Drive","Omaha","NE","68108"
114,"2004-02-17","2004-02-25",1,30.15,55.28,73,"Janet","Dog","Coon Hound","2004-02-24","Female","AKC","Brown",123.65,,"",,,"",9,"Dillard","George","803-448-2061","9713 Wildwood Street","Columbia","SC","29201"
115,"2004-02-17","2004-02-25",1,67.54,55.28,159,"","Reptile","Python","2004-01-13","Male","","Black",141.98,,"",,,"",9,"Dillard","George","803-448-2061","9713 Wildwood Street","Columbia","SC","29201"
116,"2004-02-17","2004-02-25",1,84.11,55.28,71,"Cora","Dog","Keeshond","2004-10-02","Female","AKC","Brown",119.67,,"",,,"",9,"Dillard","George","803-448-2061","9713 Wildwood Street","Columbia","SC","29201"
117,"2004-02-17","2004-02-25",1,98.21,55.28,8,"Miranda","Dog","Norfolk Terrier","2004-05-04","Female","AKC","Red",203.75,,"",,,"",9,"Dillard","George","803-448-2061","9713 Wildwood Street","Columbia","SC","29201"
118,"2004-02-17","2004-09-24",1,109.4,63.26,108,"Anissa","Dog","Bloodhound","2004-04-04","Female","AKC","Brown",169.13,,"",,,"",8,"Roberts","Jody","907-797-6770","527 Mud River Valley Road","Anchorage","AK","99502"
119,"2004-02-17","2004-09-24",1,119.43,63.26,136,"","Bird","Other","2004-08-11","Male","","White",206.77,,"",,,"",8,"Roberts","Jody","907-797-6770","527 Mud River Valley Road","Anchorage","AK","99502"
120,"2004-02-18","",1,47.26,47.67,142,"Susan","Dog","Siberian Huskie","2004-08-03","Female","AKC","White",180.93,,"",,,"",2,"Fugate","Jody","615-625-9479","787 Park Street","Springfield","TN","37172"
